#             x      grad(U)_xx      grad(U)_xy      grad(U)_xz      grad(U)_yx      grad(U)_yy      grad(U)_yz      grad(U)_zx      grad(U)_zy      grad(U)_zz             U_x             U_y             U_z               k             nut           omega
   0.0028240209      0.14195571      0.10824909  -2.1641301e-18    -0.053428201     -0.14212837   4.1262981e-21    6.583924e-19   4.9396846e-19   2.7747316e-36       5.4040104    0.0075989364   2.7441329e-23     0.040477883   0.00018551003       218.19781
    0.002913455      0.14212273      0.10807689  -9.7758262e-19    -0.053600893     -0.14229548   4.0077921e-22  -4.5879526e-18  -3.4517708e-18  -1.9817696e-35       5.4040231    0.0076086082  -2.0484442e-22     0.040464735    0.0001855052       218.13262
   0.0030038219      0.14229109      0.10790272    1.710984e-18    -0.053775561     -0.14246392  -2.5163246e-21  -3.2255915e-18  -2.4334595e-18  -1.0039553e-35        5.404036    0.0076183653  -1.4328483e-22     0.040451459   0.00018550032       218.06679
   0.0030951311      0.14246079      0.10772656   1.5309988e-18    -0.053952227     -0.14263371  -1.2027191e-20   2.3829692e-18   1.7666651e-18   1.9280382e-35        5.404049    0.0076282081   1.1034556e-22     0.040438053   0.00018549539       218.00031
   0.0031873927      0.14263183      0.10754838  -2.5621927e-19    -0.054130914     -0.14280484  -1.8720932e-20   2.9028923e-18   2.1928562e-18  -9.9443092e-37       5.4040621    0.0076381372   1.3390573e-22     0.040424515   0.00018549041       217.93318
   0.0032806164       0.1428042      0.10736817  -8.9840337e-19    -0.054311648     -0.14297732  -1.2437757e-20    1.300393e-18   1.0276775e-18    1.075099e-35       5.4040754    0.0076481532   5.9867287e-23     0.040410845   0.00018548539       217.86539
   0.0033748124      0.14297792      0.10718589  -3.1049612e-19    -0.054494451     -0.14315116   5.4422483e-21  -7.1343189e-19  -5.2026101e-19  -1.3729237e-35       5.4040889    0.0076582566  -3.4891193e-23     0.040397042   0.00018548031       217.79693
   0.0034699907      0.14315298      0.10700152   9.7647875e-19     -0.05467935     -0.14332635   1.2097465e-20   5.7902719e-20   2.7545126e-20   2.0146716e-35       5.4041025    0.0076684479   4.3786458e-24     0.040383104   0.00018547518       217.72781
   0.0035661616      0.14332938      0.10681504   4.6617342e-19    -0.054866368     -0.14350291   1.0681988e-20   3.1178597e-18   2.3127518e-18   1.0597923e-36       5.4041163    0.0076787276   1.5466971e-22      0.04036903   0.00018546999       217.65801
   0.0036633356      0.14350712      0.10662642   -1.718789e-18    -0.055055531     -0.14368083   1.5261461e-20   1.8344986e-18   1.3420249e-18   6.3373005e-36       5.4041302    0.0076890963   9.0365672e-23     0.040354819   0.00018546476       217.58753
   0.0037615229      0.14368621      0.10643564  -1.7564407e-18    -0.055246864     -0.14386012   1.4493769e-20  -3.6256288e-18  -2.7088283e-18    2.554028e-35       5.4041443    0.0076995546  -1.8620758e-22      0.04034047   0.00018545947       217.51636
   0.0038607342      0.14386665      0.10624267    1.092281e-18    -0.055440393     -0.14404079  -1.3676515e-20   -4.937289e-18  -3.6284694e-18  -4.4964736e-35       5.4041586    0.0077101029  -2.5272551e-22     0.040325981   0.00018545413        217.4445
