#        face_x          face_y          face_z      grad(U)_xx      grad(U)_xy      grad(U)_xz      grad(U)_yx      grad(U)_yy      grad(U)_yz      grad(U)_zx      grad(U)_zy      grad(U)_zz             U_x             U_y             U_z              kl              kt             nut           omega
   0.0073704501               0            0.05      -8.8164548   -0.0031109208   2.5049586e-21        12748.61       3.4382007  -4.3771793e-18   2.7862304e-14   7.5142855e-18   -9.566372e-36               0               0               0             0.1             0.1               0        11601891
   0.0075072989               0            0.05       -8.575243   -0.0029731361   2.6732689e-19       12631.651       3.3445021   5.4397778e-18  -9.1282611e-21  -3.1648739e-24   2.8456682e-40               0               0               0             0.1             0.1               0        11601891
   0.0076455748               0            0.05       -8.342382   -0.0028408984   2.4649754e-19       12516.692       3.2542178  -1.0710347e-17  -4.1038629e-19  -1.3975214e-22   1.2125939e-38               0               0               0             0.1             0.1               0        11601891
   0.0077852928               0            0.05      -8.1175455   -0.0027153085   -2.327136e-19       12403.677       3.1668827   2.0090598e-17  -2.7965815e-14  -7.1402427e-18  -4.5319342e-35               0               0               0             0.1             0.1               0        11601891
    0.007926468               0            0.05      -7.9004326   -0.0025947591  -2.5346619e-19       12292.548        3.082695   6.3828298e-18   2.8003476e-14   7.0226428e-18   1.4540632e-35               0               0               0             0.1             0.1               0        11601891
   0.0080691154               0            0.05      -7.6907309   -0.0024814767   1.2030543e-20       12183.252        3.001279    1.020546e-17   3.7458946e-19   1.2086433e-22  -5.8596703e-40               0               0               0             0.1             0.1               0        11601891
   0.0082132505               0            0.05      -7.4881279   -0.0023727852  -2.5191393e-21       12075.735       2.9226839  -3.9196319e-18   2.8086351e-14   6.7977252e-18  -9.1164713e-36               0               0               0             0.1             0.1               0        11601891
   0.0083588888               0            0.05      -7.2923368   -0.0022707164  -4.1657246e-19       11969.949       2.8466944   9.9784502e-18  -7.2941313e-21  -2.2712752e-24  -4.1667497e-40               0               0               0             0.1             0.1               0        11601891
    0.008506046               0            0.05      -7.1030797   -0.0021734651   -2.236384e-19       11865.842       2.7732193  -1.6368278e-17   8.4531097e-14   1.9756192e-17  -1.1658374e-34               0               0               0             0.1             0.1               0        11601891
   0.0086547378               0            0.05      -6.9200504   -0.0020815415  -3.7009856e-19        11763.37       2.7021514  -1.3454887e-17   2.8225446e-14   6.4836839e-18  -3.2248435e-35               0               0               0             0.1             0.1               0        11601891
