#             y      grad(U)_xx      grad(U)_xy      grad(U)_xz      grad(U)_yx      grad(U)_yy      grad(U)_yz      grad(U)_zx      grad(U)_zy      grad(U)_zz             U_x             U_y             U_z              kl              kt             nut           omega
   0.0022666117      -5.6159226    -0.068821069  -5.0022273e-20       991.84752       5.6200187  -1.5426602e-19  -6.9399659e-15  -3.9124055e-17  -4.5899374e-36       4.7625367     0.011061387   3.9737773e-22      0.12058302     0.023142385   3.7771439e-06        31.14381
   0.0024265239      -5.1072978    -0.070463487  -1.3068451e-19       832.68883       5.1157596  -1.1884787e-18  -3.2096551e-15  -1.8463949e-17  -4.9197655e-37       4.9070547     0.011921086   1.8959003e-22       0.1136984     0.024827796   4.2305202e-06       29.931584
    0.002596283      -4.4943962    -0.070841657  -5.8577158e-20       681.26947       4.5051625  -1.2654609e-18  -1.3826144e-16  -6.6266534e-19   4.1487721e-36       5.0342841     0.012738329   8.9778251e-24      0.10646302     0.025969691   4.7327762e-06       28.729257
   0.0027764954      -3.7899481    -0.069843291   4.5006748e-20       537.01469       3.8015061  -1.0050543e-18   1.7525071e-15   1.3118979e-17   6.2114835e-36       5.1426246     0.013485224  -2.5642923e-22      0.10003636     0.026649453   5.5143108e-06       27.474486
   0.0029678048      -3.0377818    -0.067588634   3.0243751e-20       404.14545       3.0493656   8.1042403e-19   2.3463619e-15   1.7839531e-17  -1.0694616e-35       5.2309084     0.014135495  -3.4939093e-22     0.095083717     0.026959024   6.8538284e-06       26.163395
   0.0031708945      -2.3040542    -0.064476126    5.366422e-20       288.95303       2.3147222   1.8926321e-18   2.0655835e-16   6.4818026e-19  -1.4513188e-35       5.2992491     0.014671161   1.4098874e-22     0.091754827      0.02700408   9.0932765e-06       24.821468
     0.00338649      -1.6561262    -0.061087138   1.5819917e-19       196.54551       1.6649964   -1.196482e-19  -1.2612903e-15  -1.0826845e-17    2.841877e-36       5.3494275     0.015088026   4.3290559e-22      0.08983587     0.026893617   1.2618012e-05       23.486454
   0.0036153613       -1.138009    -0.057968209   1.0278113e-19         128.384       1.1446787  -1.6215881e-18  -2.9165723e-16  -2.3133784e-18  -2.1675508e-36       5.3846049     0.015396401  -7.3084253e-24     0.088958249     0.026721743   1.7766327e-05       22.196333
   0.0038583258     -0.75829876    -0.055439047  -1.3919471e-19       81.884344      0.76292615  -5.3800774e-20   3.9012813e-16   3.6821831e-18  -1.5377255e-36        5.408511     0.015616205  -3.3494763e-22     0.088746243     0.026557104   2.4671196e-05       20.981717
   0.0041162514     -0.49712856    -0.053555879  -1.6351969e-19       52.012845      0.50020203   1.0534526e-18   3.2559829e-17    2.660311e-19   3.9387271e-36       5.4245847     0.015769667   3.6616667e-23     0.088893813     0.026440668   3.3134211e-05        19.86273
