#             x      grad(U)_xx      grad(U)_xy      grad(U)_xz      grad(U)_yx      grad(U)_yy      grad(U)_yz      grad(U)_zx      grad(U)_zy      grad(U)_zz             U_x             U_y             U_z               k             nut           omega
  0.00093380434      0.13833544       0.1118462   9.2410175e-19    -0.049820314     -0.13850386   7.9624088e-22  -1.8647695e-19  -2.2186076e-19  -8.6390179e-35       5.4037455     0.007390946  -4.5839313e-24     0.040757699    0.0001856125       219.58489
   0.0010035254       0.1384721      0.11171488   1.0252551e-18    -0.049951901     -0.13864066    7.054071e-21   1.8546857e-18   1.5105616e-18   -1.199892e-35       5.4037552    0.0073987381   5.6980635e-23     0.040747312    0.0001856087       219.53341
   0.0010739737      0.13860995      0.11158208   3.6287035e-19     -0.05008498     -0.13877865   1.5022206e-20   4.4470606e-18    3.556492e-18    9.704254e-35       5.4037649    0.0074066022   1.3966763e-22     0.040736821   0.00018560487       219.48142
   0.0011451566      0.13874897      0.11144777  -1.5628767e-18    -0.050219569     -0.13891783   3.8119796e-20   3.3880047e-18   2.6197243e-18  -1.6263612e-35       5.4037748    0.0074145389   1.0716235e-22     0.040726227     0.000185601       219.42891
   0.0012170819      0.13888919      0.11131195  -1.8971278e-18    -0.050355686     -0.13905822   2.1779428e-20  -2.6938606e-18  -2.2189202e-18    -5.67126e-35       5.4037848    0.0074225485  -8.7448778e-23     0.040715527    0.0001855971       219.37588
   0.0012897573      0.13903059       0.1111746   6.3594576e-20    -0.050493347     -0.13919981  -3.7068476e-20  -5.0933746e-18  -3.9946537e-18    1.753329e-34       5.4037949    0.0074306318  -1.6674181e-22     0.040704721   0.00018559315       219.32233
   0.0013631906       0.1391732      0.11103569   1.1969574e-18    -0.050632573     -0.13934262  -4.6699763e-20  -2.2735462e-18  -1.6403543e-18  -3.1276464e-35       5.4038051    0.0074387893  -7.6402752e-23     0.040693809   0.00018558916       219.26824
   0.0014373898      0.13931702      0.11089522   6.7289432e-19     -0.05077338     -0.13948665  -8.2913195e-21   3.1703525e-19   3.4460013e-19  -1.4581702e-34       5.4038154    0.0074470214   1.0451962e-23     0.040682788   0.00018558513       219.21362
   0.0015123628      0.13946206      0.11075315  -1.4452015e-19    -0.050915788     -0.13963191   1.2913183e-20   6.9702224e-19   5.0109212e-19    1.135844e-35       5.4038259    0.0074553288   2.4473011e-23     0.040671658   0.00018558106       219.15845
   0.0015881177      0.13960832      0.11060948  -8.5666331e-19    -0.051059816      -0.1397784   8.5517408e-21  -3.4070568e-19  -3.3339094e-19  -5.3504946e-36       5.4038364    0.0074637121  -1.1650045e-23     0.040660418   0.00018557695       219.10274
   0.0016646626      0.13975582      0.11046418  -7.7665886e-19    -0.051205482     -0.13992613   4.3483534e-21  -3.0356041e-18  -2.4075317e-18  -4.5424034e-36       5.4038471    0.0074721717  -1.0758217e-22     0.040649066   0.00018557279       219.04647
   0.0017420058      0.13990456      0.11031724   9.4476266e-19    -0.051352807     -0.14007512   6.0644814e-21  -3.6572881e-18  -2.9171528e-18   3.6253497e-36       5.4038579    0.0074807082  -1.3011617e-22     0.040637603    0.0001855686       218.98965
   0.0018201557      0.14005456      0.11016863   2.5754197e-18    -0.051501808     -0.14022536  -1.4217175e-21   1.1347746e-18   8.3704394e-19   4.2693047e-35       5.4038689    0.0074893222   4.3104808e-23     0.040626026   0.00018556436       218.93227
   0.0018991205      0.14020583      0.11001834   1.2165433e-18    -0.051652506     -0.14037686  -1.1636171e-20   7.4367931e-18   5.8432903e-18  -2.1626721e-35       5.4038799    0.0074980143   2.7595837e-22     0.040614335   0.00018556008       218.87431
   0.0019789089      0.14035837      0.10986634  -2.0707742e-18    -0.051804922     -0.14052963   1.1911676e-22   6.2159401e-18   4.8894916e-18  -3.4141599e-35       5.4038911    0.0075067849   2.3100641e-22     0.040602529   0.00018555576       218.81579
   0.0020595294      0.14051219      0.10971261  -2.1509487e-18    -0.051959075     -0.14068367   6.0160868e-21  -1.5623918e-18  -1.2596607e-18  -1.2761937e-35       5.4039024    0.0075156347  -6.1318014e-23     0.040590606   0.00018555139       218.75668
   0.0021409906      0.14066732      0.10955714   2.1724391e-19    -0.052114985     -0.14083899  -4.9852837e-21  -2.9607056e-18  -2.3023553e-18  -9.6223398e-36       5.4039139    0.0075245642  -1.1353981e-22     0.040578566   0.00018554697         218.697
   0.0022233015      0.14082375      0.10939991   7.0284689e-19    -0.052272673      -0.1409956   2.2530789e-23  -5.8159272e-19  -3.7918839e-19   4.6579783e-35       5.4039255     0.007533574  -2.3126148e-23     0.040566407   0.00018554252       218.63672
   0.0023064707      0.14098149      0.10924088   1.5676856e-20    -0.052432161      -0.1411535    9.624802e-21   3.9370737e-20   4.5753073e-20   2.9745524e-35       5.4039372    0.0075426645   1.6649163e-24     0.040554129   0.00018553802       218.57585
   0.0023905073      0.14114054      0.10908005  -7.8897297e-19    -0.052593469      -0.1413127   1.3517251e-20  -5.1580505e-19  -4.4008567e-19   1.9998786e-35       5.4039491    0.0075518365  -2.0738449e-23      0.04054173   0.00018553347       218.51437
   0.0024754204      0.14130093      0.10891738  -2.3070831e-19    -0.052756618     -0.14147321   9.1163938e-21  -3.2273773e-18  -2.5232139e-18  -6.1198486e-36        5.403961    0.0075610903  -1.3323168e-22     0.040529209   0.00018552887        218.4523
   0.0025612189      0.14146265      0.10875286   1.6668194e-18    -0.052921631     -0.14163502  -8.4458505e-21  -1.4088958e-18  -1.0868726e-18  -2.2815631e-35       5.4039732    0.0075704266  -5.7398982e-23     0.040516565   0.00018552423       218.38961
   0.0026479123      0.14162571      0.10858647   1.3913376e-18     -0.05308853     -0.14179815   -2.656648e-21   3.6861347e-18    2.827189e-18   2.3995382e-35       5.4039854     0.007579846   1.5713608e-22     0.040503796   0.00018551955        218.3263
   0.0027355098       0.1417901      0.10841818   -7.160763e-19    -0.053257336      -0.1419626   1.2214317e-20   4.2447399e-18   3.2178307e-18  -9.0881348e-37       5.4039979    0.0075893489   1.8221015e-22     0.040490903   0.00018551481       218.26237
   0.0028240209      0.14195583      0.10824797   -2.164125e-18    -0.053428073     -0.14212837   4.1261314e-21   6.5839355e-19   4.9396262e-19   2.7746456e-36       5.4040104     0.007598936   2.7441324e-23     0.040477883   0.00018551003       218.19781
    0.002913455       0.1421229      0.10807581  -9.7758118e-19    -0.053600763     -0.14229548   4.0045165e-22  -4.5879617e-18  -3.4517369e-18  -1.9817523e-35       5.4040231    0.0076086077  -2.0484379e-22     0.040464735    0.0001855052       218.13262
   0.0030038219      0.14229131      0.10790169   1.7109755e-18    -0.053775429     -0.14246392  -2.5163495e-21  -3.2255983e-18  -2.4334353e-18  -1.0039566e-35        5.404036    0.0076183647   -1.432846e-22     0.040451459   0.00018550032       218.06679
   0.0030951311      0.14246105      0.10772557   1.5309988e-18    -0.053952095     -0.14263371  -1.2026521e-20   2.3829733e-18   1.7666492e-18   1.9280359e-35        5.404049    0.0076282074   1.1034464e-22     0.040438053   0.00018549539       218.00031
