# Selection         : all 
# Volume            : 1.395979868100e-03
# Time              	min(p)	location	cell	min(k)	location	cell	min(omega)	location	cell	min(nut)	location	cell	min(epsilon)	min(nuTilda)
27                  	2.461780191014e-03	(7.960000000000e+00 9.956494065743e-02 1.000000000000e-01)	2999	1.249846731650e-07	(1.200000000000e-01 9.956494065743e-02 1.000000000000e-01)	59	2.291448355171e+00	(6.520000000000e+00 1.997892471644e-02 1.000000000000e-01)	2432	1.376833270138e-11	(1.200000000000e-01 9.956494065743e-02 1.000000000000e-01)	59
28                  	2.636793905599e-03	(7.960000000000e+00 9.956494065743e-02 1.000000000000e-01)	2999	1.253961543454e-07	(1.200000000000e-01 9.956494065743e-02 1.000000000000e-01)	59	2.359584285276e+00	(6.120000000000e+00 1.997892471644e-02 1.000000000000e-01)	2282	1.381366153770e-11	(1.200000000000e-01 9.956494065743e-02 1.000000000000e-01)	59
29                  	2.810115589414e-03	(7.960000000000e+00 9.956494065743e-02 1.000000000000e-01)	2999	1.257903945842e-07	(1.200000000000e-01 9.956494065743e-02 1.000000000000e-01)	59	2.402668755879e+00	(6.360000000000e+00 1.270066360871e-02 1.000000000000e-01)	2371	1.385709110898e-11	(1.200000000000e-01 9.956494065743e-02 1.000000000000e-01)	59
30                  	2.978618196527e-03	(7.960000000000e+00 9.956494065743e-02 1.000000000000e-01)	2999	1.261520537579e-07	(1.200000000000e-01 9.956494065743e-02 1.000000000000e-01)	59	2.409133203162e+00	(6.120000000000e+00 1.270066360871e-02 1.000000000000e-01)	2281	1.389693154462e-11	(1.200000000000e-01 9.956494065743e-02 1.000000000000e-01)	59
31                  	3.138481062001e-03	(7.960000000000e+00 9.671553434398e-02 1.000000000000e-01)	2996	1.264704178945e-07	(1.200000000000e-01 9.956494065743e-02 1.000000000000e-01)	59	2.421377942444e+00	(6.120000000000e+00 5.605608193476e-03 1.000000000000e-01)	2280	1.393200259167e-11	(1.200000000000e-01 9.956494065743e-02 1.000000000000e-01)	59
32                  	3.283727693010e-03	(7.960000000000e+00 9.560463532282e-02 1.000000000000e-01)	2995	1.267387115114e-07	(1.200000000000e-01 9.956494065743e-02 1.000000000000e-01)	59	2.394881578343e+00	(6.120000000000e+00 5.605608193476e-03 1.000000000000e-01)	2280	1.396155786181e-11	(1.200000000000e-01 9.956494065743e-02 1.000000000000e-01)	59
33                  	3.408731069302e-03	(7.960000000000e+00 9.440195554410e-02 1.000000000000e-01)	2994	1.269535843755e-07	(1.200000000000e-01 9.956494065743e-02 1.000000000000e-01)	59	2.379509348754e+00	(5.960000000000e+00 5.605608193476e-03 1.000000000000e-01)	2220	1.398522829280e-11	(1.200000000000e-01 9.956494065743e-02 1.000000000000e-01)	59
34                  	3.508726196600e-03	(7.960000000000e+00 9.309991496569e-02 1.000000000000e-01)	2993	1.271146758881e-07	(1.200000000000e-01 9.956494065743e-02 1.000000000000e-01)	59	2.381208111650e+00	(5.720000000000e+00 5.605608193476e-03 1.000000000000e-01)	2130	1.400297416104e-11	(1.200000000000e-01 9.956494065743e-02 1.000000000000e-01)	59
35                  	3.574281036439e-03	(7.960000000000e+00 9.016425328551e-02 1.000000000000e-01)	2991	1.272241350005e-07	(1.200000000000e-01 9.956494065743e-02 1.000000000000e-01)	59	2.391055190528e+00	(5.560000000000e+00 5.605608193476e-03 1.000000000000e-01)	2070	1.401503219534e-11	(1.200000000000e-01 9.956494065743e-02 1.000000000000e-01)	59
36                  	3.600265655518e-03	(7.960000000000e+00 8.851213587209e-02 1.000000000000e-01)	2990	1.272860983907e-07	(1.200000000000e-01 9.956494065743e-02 1.000000000000e-01)	59	2.405636236493e+00	(5.320000000000e+00 5.605608193476e-03 1.000000000000e-01)	1980	1.402185809287e-11	(1.200000000000e-01 9.956494065743e-02 1.000000000000e-01)	59
